Completed,550 South Van Ness Ave,550 ,South Van Ness Avenue,94110,,1989,On,Ownership (4)/Rental (4),36,8,No,Mission,SE,6
Completed,Potrero Square,701,Minnesota ,94107,,1991,On,Ownership,58,5,No,Potero Hill,SE,10
Completed,Haight Street Lofts,645,Haight Street,94117,,1992,On,Ownership,20,3,No,Haight Ashbury,NW,5
Completed,1130 Mariposa,1130,Mariposa Street,94109,,1992,On,Rental,23,2,No,Potero Hill,SE,10
Completed,Portola Place,2601,"Newhall, Armstrong, Orsi, Williams, Lydia, Bitting, Kalmanovitz",94124,,1992,On,Ownership,259,24,No,Bayview,SE,10
Completed,The Bouganvillea,5810,Mission Street,94112,,1992,On,Ownership,27,3,No,Outer Mission,SW,11
Completed,Villa North Beach,690,Chestnut Street,94133,,1994,On,Ownership,117,4,No,North Beach,NE,3
Completed,81 Lansing,81,Lansing Street ,94105,,1994,On,Ownership,33,3,No,SOMA,SE,6
Completed,2900 Sloat Blvd.,2900,Sloat (aka Wawona) ,94116,,1995,On,Ownership,60,6,No,Parkside,SW,4
Completed,Embarcadero Lofts ,300,Beale Street,94105,,1995,On,Ownership,67,6,No,SOMA,SE,6
Completed,Harbor Lofts (AKA 400 Spear),101,Harrison Street,94105,,1995,On,Ownership,12,2,No,SOMA,SE,6
Completed,Hayes Street Gardens,342,Hayes Street,94102,,1995,On,Ownership,14,1,No,Downtown/Civic Center,NE,6
Completed,1099 Mississippi,1099,Mississippi Street,94107,,1995,On,Ownership,10,1,No,Potero Hill,SE,10
Completed,788 8th Street ,788,08th Street,94103,,1997,On,Rental,12,1,No,SOMA,SE,6
Completed,388 Beale ,388,Beale Street,94105,,1997,On,Rental,23,23,No,SOMA,SE,6
Completed,Bridgeview,400,Beale Street,94105,,1997,On,Ownership,245,24,No,SOMA,SE,6
Completed,39 Boardman Place ,39-43,Boardman Place,94103,,1997,On,Ownership,14,1,No,SOMA,SE,6
Completed,118 Wood (AKA 2743 Geary),118,Wood Street ,94103,,1998,On,Rental,22,2,No,Inner Richmond,NW,1
Completed,Las Casitas,88,Hoff /3338 17th St,94110,,1998,On,Ownership,60,6,No,Mission,SE,6
Completed,Carlin Senior Apartments,286,Valencia Street ,94103,,1998,On,Rental ,36,4,No,Mission,SE,6
Completed,1578 Indiana,1578,Indiana Street ,94107,,1998,On,Ownership,12,2,No,Potero Hill,SE,10
Completed,945 Vermont,929,Vermont Street,94107,,1998,On,Ownership,10,1,No,Potero Hill,NW,10
Completed,Magnolia Place (1880 Lombard),3322,Buchanan Street,94123,,1999,On,Rental ,27,3,No,Marina,NW,2
Completed,Providence,1701,19th Avenue,94122,,1999,On,Ownership,81,8,No,Outer Sunset,SW,4
Completed,Village at Petrini Place ,2001,McAllister Street ,94117,,1999,On,Ownership,134,13,No,Western Addition,NW,5
Completed,Yerba Buena Lofts,855,Folsom Street,94107,,1999,On,Ownership,200,20,No,SOMA,SE,6
Completed,348 Hyde,348,Hyde Street,94109,,1999,On,Rental,12,1,No,Downtown/Civic Center,NE,6
Completed,545 Leavenworth,545,Leavenworth ,94109,,1999,On,Ownership,12,1,No,Downtown/Civic Center,NE,6
Completed,140 South Van Ness / 1655 Mission,140,South Van Ness Avenue,94103,,1999,On,Ownership,223,23,No,SOMA,SE,6
Completed,900 Van Ness,900,Van Ness Avenue,94109,,1999,On,Rental ,28,3,No,Downtown/Civic Center,NW,6
Completed,745 Clement ,741,Clement Street,94118,,2000,On,Ownership,14,1,No,Inner Richmond,NW,1
Completed,1311 43rd Avenue ,1131,43rd Avenue,94122,,2000,On,Rental ,12,1,No,Outer Sunset,SW,4
Completed,The Metropolitan ,333-355 ,01st Street ,94105,,2000,On,Ownership ,342,34,No,SOMA,SE,6
Completed,The Hayes,55,Page Street,94102,,2000,On,Ownership,128,17,No,Downtown/Civic Center,NE,6
Completed,Tower Plaza,600,Portola,94127,,2000,On,Rental,15,2,No,West of Twin Peaks,SW,7
Completed,The Midtown,1452 ,Bush Street ,94109,,2001,On,Ownership,22,2,No,Nob Hill,NW,3
Completed,Argenta,1,Polk Street,94102,,2001,On,Rental,179,9,No,Downtown/Civic Center,NE,6
Completed,Chelsea Park,3620,19th Street,94110,,2001,On,Ownership,39,5,No,Mission,SW,8
Completed,149 Fair Oaks,149,Fair Oaks,94110,,2001,On,Rental,12,1,No,Mission,SW,8
Completed,2200 Mission Street,2200,Mission Street,94110,,2001,On,Ownership,23,3,No,Mission,SE,9
Completed,The Redstone,1450,Greenwich Street,94109,,2002,On,Ownership,24,4,No,Russion Hill,NW,2
Completed,2545 Judah Street (AKA 1408 31st) ,2545 ,Judah Street,94122,,2002,On,Rental,13,2,No,Outer Sunset,SW,4
Completed,525 Gough St,525-527,Gough Street,94102,,2002,On,Ownership,21,3,No,Western Addition,NE,5
Completed,1234 Howard Street ,1234,Howard Street ,94103,,2002,On,Ownership,18,2,No,SOMA,SE,6
Completed,68 McCoppin ,68,McCoppin,94103,,2002,On,Ownership,12,1,No,SOMA,SE,6
Completed,222 Valencia Street ,222,Valencia Street ,94103,,2002,On,Ownership,10,1,No,Mission ,SE,6
Completed,77 Van Ness Avenue,77,Van Ness Avenue,94103,,2002,On,Ownership,50,6,No,Downtown/Civic Center,NE,6
Completed,OceanView Terrace,8100,Oceanview Terrace,94127,,2002,On,Ownership,15,2,No,Ocean View,SW,7
Completed,Glen Park Marketplace,53,Wilder Street ,94131,,2002,On,Ownership,15,2,No,Glen Park,SW,8
Completed,638 19th Street,638 ,19th Street,94110?,,2002,On,Ownership,21,2,No,Potero Hill,SE,10
Completed,"Candlestick Point - The Cove, Phase I",1 & 101,Crescent Way ,94134,,2002,On,Ownership,128,14,No,Bayview,SE,10
Completed,1828 Geneva,1828 ,Geneva Avenue,94134,,2002,On,Rental,48,6,No,Crocker Amazon,SW,10
Completed,Landmark Union Sq.,333,Grant Avenue,94108,,2003,On,Ownership,39,2,No,Union Square,SE,3
Completed,1725 Washington Street,1725,Washington Street,94109,,2003,On,Rental,16,2,No,Nob Hill,NE,3
Completed,69 Clementina,69,Clementina Street,94105,,2003,On,Ownership,18,2,No,Financial District,NE,6
Completed,436 Clementina,436,Clementina Street,94103,,2003,On,Rental,20,3,No,SOMA,SE,6
Completed,The Folsom Lantern,1168-1174,Folsom Street,94103,,2003,On,Rental,22,1,No,SOMA,SE,6
Completed,1277 Howard Street/776 Tehama Street,1277,Howard Street ,94103,,2003,On,Ownership,14,2,No,SOMA,NE,6
Completed,SOMA Grand,1160,Mission Street,94103,,2003,On,Ownership,246,29,No,SOMA,NE,6
Completed,199 New Montgomery ,199,New Montgomery,94105,,2003,On,Ownership,166,18,No,Financial District ,NE,6
Completed,Odeon,150,Powell Street ,94102,,2003,On,Ownership,29,3,No,Downtown/Civic Center,NE,6
Completed,Lofts@One Powell (10 Cyril Magnin),1,Powell Street ,94102,,2003,On,Rental,40,4,No,Downtown/Civic Center,NE,6
Completed,88 Townsend (Formerly 639-669 2nd Street),88,Townsend Street,94107,,2003,On,Ownership,112,13,No,SOMA,SE,6
Completed,8 Landers,8,Landers Street,94114,,2003,On,Ownership,14,1,No,Castro/Upper Market,SW,8
